"judul_webtoon","sinopsis_webtoon"
"Kelas Neraka","Aku, Kenaya. Hanyalah murid SMA biasa yang cuma ingin main aman dari perundungan. 
Tapi para perundung biadab itu menganiaya Riska, sahabat baikku. 
Karena itulah, aku kembali dari neraka untuk menghukum dan mempermalukan mereka di dunia ini!"
"WEE!!!","Di saat kangen sekolah dan bertemu teman-teman lagi, ada Amu yang kesehariannya di sekolah bisa kamu ikuti! Bersama teman-temannya yang berkelakuan aneh serta bodoh, mereka akan melalui masa SMA yang penuh suka, duka, cita, dan cinta!"
"Si Cumi Mencari Cinta","Putri cumi-cumi yang imut dan cantik menolak untuk menikahi pangeran Jingjing dari negara tetangganya. Untuk menemukan cinta sejati, putri nekat mengambil umpan dan menaiki perahu nelayan cumi-cumi. Bagaimana masa depan Putri cumi-cumi yang memimpikan percintaan dengan seorang pangeran manusia?"
"Hero Killer","Bertahun-tahun yang lalu, Ehwa kehilangan saudara perempuan karena seorang hero yang tidak dikenal.
Sampai sekarang, tidak ada yang tahu siapa pembunuh saudara perempuan Ehwa. Tetapi hal itu tidak masalah baginya, karena dia akan menghabisi semua hero yang ada di dunia."
"Handsome and the Beast","Terlempar ke isekai, tapi jadi monster buruk rupa?! Gadis ini menjadi Putri Alexa yang dikutuk, tapi ia bertekad memperbaiki nasib dengan cara mencukur bulu-bulu di tubuhnya dan merebut kembali posisinya sebagai anak sang raja. Alexa harus berhadapan dengan kakak perempuannya ya (sepertinya) berniat buruk, juga bertemu dengan Great Duke yang katanya juga terkutuk..."
"My Sibling's Friend","Gaeun, mahasiswi yang sedang tinggal bersama adiknya setelah orang tuanya meninggal. Setelah putus dengan pacarnya, Ia memutuskan untuk tidak akan berpacaran lagi. Tapi semuanya berubah setelah ia bertemu teman-teman adiknya! Akhirnya Gaeun pun menikah dengan salah satu teman adiknya. Pertanyaannya adalah, siapakah calon suaminya...?!"
"Dateclip","Karier Lee Bobae terpuruk setelah dianggap menjadi penyebab kematian Oh Hanjoo. Padahal, mereka hanya pacar settingan untuk keperluan reality show. Bobae berusaha bangkit lagi, namun ada hater yang terus-menerus menyerangnya tapi berpura-pura tidak berdosa."
"The First Hunter","Ketika monster menyerang dunia, beberapa orang mendapatkan kekuatan spesial yang membantu mereka melawan monster ini. Dari kelompok ini, satu orang menonjol di atas mereka semua. Pengalaman Taehoon Kim sebagai prajurit pasukan khusus membuatnya menjadi pemburu monster yang mematikan. Tapi ketika artefak magis meramalkan kematian Taehoon beberapa tahun di masa depan, dia harus berjuang untuk mengubah nasibnya bersamaan dengan nasib dunia. Bisakah Taehoon dan timnya selamat dari akhir dunia?"
"Today Living with You","Dohee sudah lama menyukai Jaehyuk, teman masa kecilnya. Dia sekarang mau menjauhi Jaehyuk dan memutuskan untuk berpacaran dengan cowok lain! Saat dia bilang ""TINGGAL CARI PACAR SAJA KAN!!"", Dohee tidak sengaja bertemu Wonyeong yang dikenal cowok tampan tapi gila..! Setelah hari itu, Wonyeong terus membuat hatinya doki-doki!

Bagaimana dengan kelanjutan kisah Dohee, ya?!"
"Zombie Fight","Saat hidup semakin sulit, An Lee bertahan dengan mematikan seluruh emosi dan rasa sakitnya.
Kekerasan ayahnya dan keluarganya yang dililit hutang terus menghantui dirinya... Sampai kapan An Lee harus bertahan dari kerasnya hidup...?"
"Look a Picture","Jisoo memutuskan untuk keluar dari sekolah dan pindah ke rumah neneknya di desa demi fokus berlatih menjadi ilustrator buku dongeng. Ia pun berusaha melupakan kenangan buruk dengan teman-temannya di sekolah yang dulu. Untunglah ia bertemu Dowon, seorang pemuda yang segera jadi temannya. Apakah rencana Jisoo untuk memperbaiki hidupnya dapat berjalan mulus?"
"Nine","Setelah menyalakan stik aromaterapi, Sela mengalami kejadian aneh. Dia bertemu almarhum ibunya sejenak dan ketika bangun, ia seperti melupakan banyak hal. Ternyata, banyak kejadian dalam hidupnya yang tiba-tiba berubah karena sembilan stik aromaterapi pengubah nasib!"
"Baby Princess the Matchmaker","Eryl yang diasuh oleh bibinya, ternyata seorang putri raja yang hilang. Dan dia bukan bayi biasa, melainkan wanita berusia 30 tahun yang renkarnasi ke novel cerita di dunia ini.

Eryl yang selalu dilindungi bibinya, akhirnya berusaha mencarikan jodoh bibinya! Namun salah satu cowok yang jadi kandidatnya, justru raja yang dikenal jahat di novel! Apakah Eryl akan berhasil menemukan pasangan yang cocok untuk bibinya?"
"Please Answer Me, Prince","Cordelia, seorang editor yang ingin cerita populer tentang putri dan kesatria diteruskan kembali oleh penulisnya. Saat mendapatkan manuskrip, dia bertemu seorang pria tampan yang memberinya kotak penyimpanan buku.

Siapa sanka, kotak tersebut ternyata menghubungkan surat-surat yang Cordelia tulis dengan pangeran dari dunia dongeng di mana cerita putri dan kesatria itu berasal! "
"To Not Die","Im Dajoon, adalah seorang siswa SMA yang terus-menerus diganggu di sekolah. Tepat sebelum dirinya menyerah pada kehidupan, dia melihat berita wawancara seorang siswa yang membunuh teman sekelasnya di TV, yang membuat dirinya termotivasi untuk balas dendam.
Balas dendam itu berhasil, tetapi hidup Dajoon berubah ke arah yang tidak terduga..."
"When the Day Comes","Ini dia kisah cinta SMA paling apa adanya!! Norang dan Pharan yang duduk sebangku pernah pacaran... tapi sudah putus! Mereka berdua belum bilang-bilang sudah putus karena akan mengikuti lomba dansa di sekolah. Tapi, ada satu cowok yang ternyata tahu mereka sudah putus... kebetulan cowok itu tipe idaman Norang! Apakah Norang akan move on, atau Pharan masih belum menyerah?"
"Nightmare Diary","Kumpulan kisah horror-thriller yang akan memberikanmu mimpi buruk sepanjang malam.
""Kapan mimpi buruk ini akan berakhir?!"""
"Kisah Bucin di Sekolah","Ada yang mencintai secara terang-terangan, ada yang mencintai namun tidak menyadarinya, dan ada yang mencintai diam-diam. Inilah berbagai kisah bucin di sekolah"
"Potato Town","Seorang(?) kentang yang tinggal di desa Kentang, Kamja,  akhirnya pergi ke luar untuk mewujudkan impiannya. Tapi, begitu berangkat dari desa, dia tersangkut dalam suatu kejadian..! Apakah kamja bisa hidup dan kembali ke desanya dengan selamat?"
"Little Rain","Malaikat pelindung yang kehilangan ingatannya tetap berada di tubuh kucing, dan kucing ini 'Rain' selalu melindungi Lisa yang hidup dengan kemalangannya."
"Now I Will Take The Emperor's Heart","Ra Hyun, yang mendadak meninggal karena artimia, mohon dihidupkan kembali kepada dewa. Akhirnya dia hidup kembali sebagai Daphne di Kekaisaran Fiant, Namun sekarang misinya adalah dia harus merebut hati kaisar 100% agar dia bisa kembali hidup di dunia asalnya.

Apakah dia bisa memperoleh hati kaisar dan hidup kembali?"
"Blooming","Cantik bak bunga, Kinar menjadi Mahasiswi paling populer di kampus. Eh.. tapi kok bukannya di puja puji tapi malah dibenci?"
"The Flower of Beast","Bunga berwarna merah ini indah sekali sampai membuat bulan pun sembunyi.
Bunga ini dijaga oleh seorang ksatria yang dipanggil malaikat maut.
Suatu hari ada yang ingin memgambil bunga sembarangan karena tertarik dengan kecantikan.
Setelah kejadian ini dilihat sama si malaikat maut, dia ingin mengambil putrinya pencuri itu sebagai penggantinya.
Apa yang akan terjadi pada si malaikat maut dan putrinya?!"
"Fast Forward","Myungji memiliki kekuatan untuk mempercepat waktu. Tapi saat dia menggunakannya sepulang sekolah, ternyata teman dekatnya sudah terbunuh di depannya! 
Pembunuhan ini terus membawanyna pada pemilik kekuatan waktu lainnya.
Sebenarnya apa yang terjadi, dan apa yang harus Myungji lakukan?!"
"Kiss Sixth Sense","Bisa melihat masa depan saat berciuman! 
Yesul yang bisa melihat masa depan saat berciuman tidak sengaja mencium leher direktur Minhu dan dia melihat masa depannya bersama direktur yang dingin itu!
Yesul tidak ingin masa depan yang dia lihat terjadi.
Tetapi laki-laki itu kenapa tetap mendekati Yesul?!"
"Monster","Agen rahasia ini memiliki kekuatan super, tapi kehidupan sehari-harinya malah di-bully?!
Yoo Jin seorang siswa yang memiliki pekerjaan sampingan sebagai agen rahasia dengan kekuatan super. Semuanya berjalan baik-baik saja sampai suatu hari dirinya terlibat dalam bullying yang terjadi di sekolahnya. Kini hidupnya semakin sulit karena dia harus menghadapi Cha Donghae si bully, bersamaan dengan 'devil' yang terus membuat masalah di sekitarnya. Mampukah Yoo Jin menyelesaikan masalah-masalah ini dan menyelamatkan dunia?!"
"Must Be a Happy Ending","Hari terakhir mengakhiri hubungan dan bercerai, suaminya meninggal.
Yeonwoo yang sedang bersedih tiba-tiba kembali ke waktu saat suaminya belum meninggal!

Kehidupan pernikahan yang dijalani kedua kalinya. 
""Kehidupan kali ini akan kubuat benar-benar happy ending!"""
"Hannah Nala","Hannah baru saja menikah dengan Nala. Suaminya itu unggul dalam segala aspek rumah tangga! Dan kini, Hannah harus berusaha menjadi istri yang baik. Inilah kisah pasangan baru nikah!"
"The Villain is Trying to Make Me a Stepmom","Daisy reinkarnasi ke dalam novel yang dia tulis sendiri, namun dia hanya menjadi orang biasa saja!
Lalu suatu hari, Duke Henston yang merupakan ayah dari tokoh utama wanita di novelnya memanggilnya.
Agar anaknya tidak didekati pemeran tokoh pria lain, Daisy pun diminta menjadi pengasuhnya?! Atau bahkan..  menjadi ibu tirinya?!

"
"My Ex-Husband","Tidak disangka aktris cantik Ha Eunsol sudah pernah menikah dengan seorang pria yang meninggalkannya begitu saja. Tiba-tiba pria itu kembali di hadapannya, sebagai bos perusahaan yang berinvestasi pada film yang dibintangi Eunsol. Apa si mantan mau rujuk? Apakah Eunsol akan menyerah begitu saja di bawah pesona Cha Yunjae, sang mantan suami?"
"The Emperor Reverses Time","Semasa hidup bahkan sampai hari wafat Ratu, Kaisar Leon tidak pernah peduli padanya. Namun semakin lama, Kaisar Leon merasa keseipian dan bersalah. Dibantu seorang penyihir, Sang Kaisar kembali ke masa lalu saat dirinya dan Ratu Lizzy masih kanak-kanak untuk membuat ratu bahagia. Berhasilkah perjalanan memutar waktu Kaisar Leon?"
"No Scope","Kisah mereka yang ingin menjadi pro gamer!
""Do-yoon"" yang miskin, tapi bisa mencapai rank 'legend' di server Amerika
dan ""Suho"" yang jago belajar, punya sifat menawan, penampilan tampan, tapi ingin menjadi pro gamer!"
"Please Show Up!","Jiyong yang mahasiswa biasa memimpikan Jihye dan jatuh cinta pada pandangan pertama denngannya. 
Namun saat ia berusaha mencari tahu... ternyata wanita itu bunuh diri 2 tahun yang lalu?!
Kisah romantis Jiyong yang ingin mengembalikan hidup Jihye, Please Show Up!"
"Bite Me","Chaeyi seorang artis terkenal kariernya terancam hancur karena sikapnya yang dianggap tidak profesional. Ternyata, Chaeyi menderita sakit kepala hebat! Anehnya sakit kepala Chaeyi hilang ketika Leejun mengigit lehernya. Ternyata, Leejun si bintang ternama adalah vampir yang bisa menghisap rasa sakit! Karya terbaru dari kreator ""My Oppa Is An Idol""!"
"The Now","""Aku bisa memperbaiki kehidupan kita""

Kwon Ji-geum, perempuan yang memutuskan untuk bunuh diri gara-gara trauma dari masa lalu, mendadak dikembalikan ke 10 tahun yang lalu dan menghadapi dirinya...

Apakah dia bisa mengubah nasibnya dan menjadi orang bahagia?"
"Return of Sword Master","Murid ke-13 dari sekte Hwasan, Cheong Myeong, si pendekar pedang sakti bunga plum akhirnya berhasil membunuh kepala dari sekte iblis, Cheonma. Namun pertarungan tersebut telah merenggut nyawa Cheong Myeong sendiri beserta seluruh sekte Hwasan yang menjadi tempat perguruannya. Siapa yang menyangka, setelah kematiannya ternyata Cheong Myeong terlahir kembali 100 tahun kemudian! Tapi di masa ini tidak ada seorang pun yang mengingat Sekte Hwasan?!
""...Apa? Sekte Hwasan hancur?!"""
"Terror Man","Jeongwoo Min memiliki kemampuan khusus, yang memungkinkan dirinya untuk melihat setiap kesialan yang akan terjadi. Dengan kekuatannya, Jeongwoo memutuskan untuk menjadi teroris agar bisa menyelamatkan orang-orang dari kesialan yang akan menimpa mereka!"
"30 Minute Walk","Seongeun pulang searah dengan seorang cowok yang sangat pendiam. Di sekolah, cowok ini nyaris nggak pernah bicara! Bukannya sombong, tapi Seongeun tahu sifat cowok ini memang kaku dan tidak banyak omong. Bisakah pertemanan mereka terus berjalan? Romance gemas yang tulus!"
"Proper Dating Guide","Kisah cinta di kampus yang kocak dan ringan! Bareum adalah mahasiswi yang selalu melakukan segala hal sesuai jadwal. Tetapi, ada satu hal yang tidak bisa dilakukannya sesuai jadwal: punya pacar! Ketika bertemu seorang senior ganteng, Bareum bertekad untuk mendekatinya. Apakah ia akan berhasil mendapatkan senior itu sesuai rencana?"
"SAMADHI","Awalnya dia hanya manusia biasa, namun tiba-tiba dia memiliki kemampuan super. Dengan begini, dia tidak bisa menjalani hidup seperti orang lain, padahal keinginannya adalah untuk menjadi orang normal pada umumnya..."
"Summer Rain","Banyak hal aneh terjadi saat hujan panas. Salah satunya dialami Kay, seorang gadis SMA yang merasa pernah berjumpa dengan seorang pangeran dari kerajaan antah berantah. Apakah yang dialaminya nyata?"
"Sub Complex"," Wajib baca kalau suka komik romantis yang kocak! Yeon-i punya penyakit ""sub complex"" yaitu selalu jatuh cinta pada tokoh pendukung pria di komik yang ia baca. Sayangnya, di komik itu tokoh pendukung prianya mati! Jadi, waktu Yeon-i masuk ke dalam komik, ia bertekad akan membalas cinta si tokoh pendukung dan mengabaikan si tokoh utama pria. Apakah rencananya bakal mulus?"
"The Evil","Bonggang, tokoh utama yang bisa melihat pikiran orang lain dengan matanya sendiri.
Suatu hari, dia melihat hati terdalam senior Jo Hoon yang paling populer di kuliah.
Tetapi yang dia temukan adalah...penampilan lain senior, yaitu seorang pembunuh
yang penuh dengan niat mengerikan."
"Just a Girl He Knows","Suatu hari, Hayoung mendadak dikembalikan ke masa SMA. Dengan kesempatan ini, apakah Hayoung bisa mendapatkan hati dari cinta pertamanya walaupun Hayoung bukan siapa-siapa untuk orang itu?"
"Neon Revenge","Tidak akan ada yang menyangka bahwa Seongbin Cha yang terlihat lemah sebenarnya adalah Neon Mask, pahlawan internet yang populer dengan mengalahkan bully yang melakukan kekerasan dan penindasan di ViewTube. Dia tidak akan beristirahat sampai dia memberantas semua bully di negara ini! "
"Meow Man","Bagaimana jika pacar impianmu ternyata adalah... seekor kucing?
"
"Eyes","Setelah Juan Seo merasa diawasi setiap hari di sekolah, ia juga menyadari keberadaan 'Manusia Burung' Kini, dia tahu bahwa ada sebuah masalah dan perkelahian besar yang tidak dapat dihindarkan!"
"Agatha","Katanya, Ratu Agatha adalah tiran jahat pembunuh suaminya sendiri, kanibal, sesat, penyembah setan, yang kehilangan kewarasan akibat kekejiannya sendiri. Benarkah? Apakah sebenarnya Ratu Agatha hanya mengimpikan cinta dan kebebasan? Berapa yang harus dibayarnya untuk itu?"
"Don't Pretend to Know Me!","Doeun yang pulang kampung setelah 3 tahun akhirnya bertemu kembali dengan teman-teman masa kecilnya yang kini sudah tumbuh besar menjadi anak-anak populer. Kisah romantis reverse harem dengan teman masa kecil!"
"One Night with Emperor","Patah hati karena dicampakkan tunangannya, Penelope menghabiskan malam dengan seorang pria tampan. Ternyata, dia bukan pria biasa, melainkan Sang Kaisar yang paling berkuasa! Inikah berkah, atau tulah?"
"Survived Romance","Chaerin hidup kembali sebagai tokoh utama di dalam webnovel bergenre romantis, tapi tiba-tiba genrenya berubah jadi thriller?! 
Chaerin pun harus bertahan bersama dengan karakter-karakter pendukung lainnya! Webtoon baru dari author ""Make-Up Man""!"
"Friendly Rivalry","Seulgi baru pindah ke tempat berkumpulnya 1% pelajar terbaik korea selatan hanya untuk masuk fakultas kedokteran Universitas Korea. Salah satu teman baru, Jay, entah kenapa menyarankan untuk bersaing secara sehat sambil membantu Seulgi. Apakah Seulgi dan Jay  bisa masuk ke universitas yang mereka mau?"
"My Girlfriend is a Goldfish","Joe adalah seorang pemuda miskin yang berjuang meneruskan usaha burger peninggalan ayahnya. Tetapi, keberuntungan tidak pernah berpihak padanya... sampai suatu hari ia mendapat ikan mas koki yang bisa berubah jadi gadis cantik pembawa hoki!"
"Ambivalent","""Siapa sangka hukum Tuhan turun dengan sosok secantik dirimu.""
Santo, ketua geng yang banyak mengalahkan orang di tawuran antar pelajar tiba-tiba dikalahkan oleh seorang gadis yang imut Rina! Perasaan ingin menang atau cinta? Manakah yang akan dia pilih?!


"
"Sucker Trick","Sesosok mahluk yang istimewa dan memiliki kekuatan, ditutupi dalam nama ""Pesulap."" Pertunjukkan akan segera dimulai, dan pertanyaannya adalah...Apakah kamu percaya akan adanya sulap?"
"Kitty and the Angel","Aku membawa kucing ke rumah tapi justru muncul wanita cantik?!
Hayoon mencoba mengusirnya, tapi dia mengaku sebagai malaikat dan mau tinggal untuk melindungi Hayoon. Hayoon pun mempekerjakan wanita ini sebagai managernya. 
Tapi apa benar dia malaikat pelindung sungguhan?"
"The Greatest Wolf of My Life","Kenapa kok harus hari ini aku membuat kesalahan pada Idol laki-laki yang populer itu, belum lagi aku juga ketemu cowok yang mencintaiku 10 tahun yang lalu. Cinta segitiga yang bikin deg-degan akan dimulai!!"
"Nevertheless","Kisah antara Nabi yang tidak percaya dengan ""cinta"" tetapi ingin berpacaran
bersama Jaeon yang tidak ingin berpacaran namun selalu menggoda Nabi
Ayo baca ""Nevertheless"" sambil nonton drama-nya! "
"THE STAIRWAY OF TIME","Kembali ke 14 tahun lalu untuk putus denganmu!"
"Game of Doppelganger","Setelah memungut sebuah telur di lorong sekolah, aku sekarang bisa melihat kembaranku... Tapi, ternyata kembaranku akan membunuhku?!"
"Wanna Live Sweet","Suyeon, seorang mahasiswi yang terikat pernikahan kontrak akhirnya ingin bercerai. Jihyeok, suaminya, bilang ""Mari kita berusaha mengembalikan hubungan kita supaya tidak menyesal, biar bagaimanapun kita akan bercerai.""
Dan dia tiba-tiba berubah seperti saat baru pacaran! Kenapa hati Suyeon kini jadi berdebar walaupun tidak mau mengakuinya…
Wanita yang menginginkan cinta yang manis dan laki-laki yang tidak bisa melepaskannya.
Apakah mereka bisa menjadi suami dan istri yang sesungguhnya?"
"Impian Jingga","Apakah Jingga, salah satu temannya Pelangi, bisa memahami apa itu cinta dan membuat webtoon romantis yang bagus?!"
"BAD GUY","Sepuluh tahun berusaha untuk menjadi tipe ideal cewek yang disukai karena dia suka cowok yang baik hati. 
Tapi, Kok dia mendadak bilang suka seorang Bad Boy...?! Mulai hari ini aku... terlahir kembali menjadi Bad boy!"
"Jungle Juice","Jang Suchan adalah seorang mahasiswa cerdas dan tampan yang disukai oleh banyak orang. Namun di balik penampilannya yang sempurna, dia menyembunyikan sayap serangga yang tumbuh di tubuhnya sejak dia menggunakan spray ""Jungle Juice."" Kehidupannya hancur sejak dirinya tidak sengaja mengungkapkan rahasianya ke publik. Ketika semua harapan terasa sirna, Suchan menemukan dunia baru dimana manusia serangga saling hidup satu sama lainnya selayaknya manusia biasa. Namun di dunia baru ini, yang kuatlah yang akan bertahan!"
"Who's Mr. President?","Selamat datang di SMA Krisopras, sekolah elit yang dikenal sebagai sekolah terbaik se-nusantara! Tapi kok aneh ya... kenapa SMA elit ini merahasiakan identitas setiap anggota OSIS nya?"
"Lore Olympus","Diangkat dari mitologi legendaris. Romansa fantasi antara Dewi Persephone dan Raja Dunia Bawah Hades. Webtoon terpopuler di seluruh dunia kini hadir dalam bahasa Indonesia!"
"People Don't Change!","Aku adalah manusia pertama yang dibuat oleh Tuhan. Aku tidak pernah memberi kasih sayang ke orang lain karena aku merasa jika aku yang harus dicintai mereka. 
Namun Tuhan memberikanku pertanyaan dan aku tidak bisa mati sampai bisa menjawabnya! Dan tiba-tiba... Aku dihidupkan kembali ke dalam tubuh seorang putri yang masih bayi?!"
"SCRAMBLED: Journeylism","Visi adalah seorang siswi SMA yang pemalu. Saat memutuskan untuk mengikuti ekstrakurikuler jurnalistik di sekolahnya, dia malah mendapatkan tugas membuat artikel tentang 5 cowok terganteng di sekolahnya! Sial (atau untung?) banget... cowok yang ditaksir Visi juga termasuk di dalamnya!"
"My Roommate is a Gumiho","Seorang Gumiho (ganteng) sudah berusaha untuk menjadi manusia selama 900 tahun, tetapi batu kelereng Gumiho itu telah diambil oleh seorang mahasiswi!
Untuk menyelesaikan masalah ini, Gumiho menawarkan pada si mahasiswi untuk tinggal bersamanya…"
"How to Live as a Lady","Aku yang seorang kesatria, ditusuk oleh sahabat terdekatku. Ketika sadar, aku menjadi putri bangsawan di negara musuh!
Waktu sudah berlalu 3 tahun sejak perang dan aku sekarang terperangkap di tubuh asing dan lemah ini.
Aku harus bertahan hidup sebagai Lucipella Aiden, seorang wanita bangsawan, dan mencari tahu apa yang sebenarnya terjadi!"
"Just for a Meowment","Myohee nekat lompat dari atas gedung karena terlilit hutang. Namun, dia malah bertemu malaikat maut yang memberinya kesempatang hidup 100 hari lagi sebagai... seekor kucing!"
"Second Life of a Gangster","Jungseok melakukan hal-hal yang terburuk demi organisasi preman yang dia pimpin. Tetapi ternyata pada akhir kehidupannya, dia dihabisi oleh bawahannya sendiri...?!
Sekarang di kehidupan keduanya, Jungseok memutuskan untuk hidup lebih baik!"
"I Picked Up a Second Lead After the Ending","Karakter yang paling aku suka di novel yang aku masuki  adalah cowok yang jadi Second Lead!
Tapi, kok dia malah jadi cowok jutek karena dulu dibuang oleh karakter utama wanita?!
Apakah aku bisa mengambil hati cowok ini..?!"
"Ganda","Rika, mahasiswi yang sedang bimbang dengan tujuan hidupnya ingin menjadi penerus Ganda, petarung yang melindungi kampus UBR dari makhluk bernama Jinn yang menyerang orang di malam hari. Namun jalan yang dipilih Ganda adalah jalan yang penuh bahaya dan tidak bisa dijalani setengah-setengah!"
"Langit Merah Jambu","Mentari yang gila kerja tiba-tiba saja harus sekantor dengan mantan paling menyakitkan baginya. Bisakah dia survive dengan kehadiran Bumi, si mantan paling menyebalkan di sisinya?"
"Although You are a Ghost","""Hyeok"", seorang hantu yang bertahan hidup di dunia ini dengan 
mengambil energi dari orang lain, tetapi malah jatuh cinta sama Semin yang seorang wanita ini?!
Kisah cinta romantis antara hantu dan manusia yang bikin deg-degan!"
"Love You to Death","Anna, seorang pengurus pemakaman, harus membantu teman masa kecilnya si aktor terkenal Ryubin yang meninggal mendadak. Anehnya, Ryubin malah berubah menjadi mayat hidup yang masih bisa beraktivitas seperti manusia biasa. Anna harus menjaga agar tubuh Ryubin tidak membusuk! Sebuah cerita romantis yang ngeri-ngeri manis!"
"Kolang-Kaling","Bingung berbuka dengan apa? Pakai Kolang-Kaling aja~
Kompilasi Ramadan yang kalian senangi!
Akan ada banyak cerita Ramadan yang manis dan menyentuh!"
"Toyboy's Charm","Inju diputuskan oleh pacarnya tanpa alasan yang jelas. Demi mengembalikan mantan pacar, Inju merencanakan sesuatu. Langkah pertama adalah membuat sang mantan pacar cemburu! 
jadi, Inju mencoba untuk berpacaran dengan junior ganteng, Seoyun. Tetapi, Seoyun sudah naksir sama orang lain. 
Akhir cerita dari persekutuan kedua orang ini untuk memenangkan cinta adalah...?!"
"Return to Player","Dunia telah berubah menjadi game! Setelah 10 tahun, Sehan berhasil menyelesaikan segalanya. Tetapi, ia memilih untuk memulai permainan dari awal dan menjalaninya lagi. Bisakah ia menyelamatkan dunia dan menghancurkan sistem yang membuat dunia berubah itu?"
"Seven Years Later","Kala Maharani adalah seorang gadis biasa yang sering dikekang oleh ayahnya. Suatu saat, dia memilih kabur dari rumah untuk merayakan tahun baru 2014 di Bali. Namun, siapa sangka, dia tenggelam di laut dan diselamatkan oleh temannya yang bilang kalau waktu sudah berlalu sekitar tujuh tahun. Apa yang terjadi? Bagaimana dengan keluarganya dan sahabat-sahabatnya? Bisakah dia kembali lagi ke masanya?"
"Anon, I Know You!","Di aplikasi forum sekolah yang sedang trending, diam-diam ada banyak postingan menarik karena fitur anonim yang memungkinkan untuk menyembunyikan identitas masing-masing. Setelah mengalami kecelakaan kecil, Minjun dapat melihat semua nama asli dibalik pengguna forum tersebut. Lalu, dia melihat postingan Hayeong, teman yang ia suka, mengatakan bahwa pacarnya agak aneh...!

Anon, kenapa kau menulis seperti itu?!"
"The Blood of Madam Giselle","Suatu hari Madam Giselle menemukan vampir yang seperti anak kecil dan disembunyikan oleh suaminya di ruang bawah tanah. Sejak menghisap darah Giselle dan menjadi dewasa, Giselle pun jadi sering menemui vampir ini secara diam-diam..."
"Daddy Goes to School","Webtoon baru dari author ""Reawaken Man""!

Seorang ayah biasa yang menyayangi anak perempuannya, tiba-tiba mati karena sebuah kecelakaan. Mulai sekarang, dia akan menjaga anaknya dari geng ""12 Shio"" dengan menggunakan skill bertarung yang ada di webtoon aksi karyanya ketika masih hidup.

""Semua yang mengganggu anakku...akan kubuat menyesal!"""
"At Your Service, My Lady","Sekolah ini hanya berisi 1% murid-murid paling pintar dan kaya!
Dari kekayaan mereka, ada 1 pasangan yang kelihatannya
sangat sempurna! Tapi, pasangan sempurna ini sebenarnya hanya hubungan kontrak?!"
"Don't Jinx It!","Somang, yang ingin mencoba berpacaran dengan seseorang di masa remajanya mempunyai satu jinx.
Yaitu, dia tidak akan pernah sukses pacaran jika dia membayangkan pernikahan dengan gebetannya. Apakah dia bisa mengatasi satu jinx ini?!
Kisah romantis Somang yang suka berkhayal!"
"My One and Only","Arim yang mabuk setelah pulang kerja menemukan cowok ganteng yang menyebut dirinya sendiri sebagai ""manusia serigala"".
Masa sih dia benar-benar serigala?!"
"The Lovely Sisters","Ketika kakek Charlotte meninggal, gelar bangsawan dan seluruh kekayaan diwariskan kepada cucu perempuannya. Charlotte yang hidup menderita dengan senang hati menerima warisannya. Akan tetapi, sang ayah diam-diam memiliki putri selain Charlotte yang juga berhak menjadi pewaris. Apakah warisan tersebut akan jadi milik Charlotte, atau jatuh ke tangan Kara, sang adik yang baru dikenalnya?"
"How to Train Celebrity","Misun yang bermimpi menjadi PD dan membuat skenario dramanya sendiri mulai bekerja sebagai FD (Floor Director) di sebuah drama yang diproduseri Jin-Hyuk dan dibintangi oleh Eun-Ho sang aktor terpopuler. 
Tetapi kekacauan yang Misun lakukan membuatnya harus membayar kesalahannya pada Eun-Ho...?!"
"Men of the Harem","Latrasil, sang kaisar perempuan, menginginkan lima lelaki untuk dijadikan pendamping. Dia ingin membuat haremnya sendiri, tidak kalah dari para kaisar lelaki yang memiliki banyak selir. Apakah para lelaki tampan ini mampu menyembuhkan hati Latrasil yang pernah disakiti mantan kekasihnya?"
"DO AS I SAY!","Jieon yang pontang-panting harus melakukan tiga pekerjaan dalam sehari sangat stres dengan kamarnya yang berantakan. Tetapi, suatu hari dia mendapatkan satu boneka aneh... yang bisa memperbudak aktor terkenal, Doyoon."
"Shotgun Boy","''Han Kyu-hwan', seorang anak laki-laki yang tidak punya pilihan selain menjadi pahlawan dari yang lemah,
Dan senapan yang dia temukan membuat bocah itu menjadi pahlawan.
Prekuel ""Sweet Home"", yang mencatat 1,2 miliar jumlah total view di global!"
"Love Hidden in Lies","Bagi Natsume, Yuki adalah seorang cowok yang selalu bersamanya sejak kecil. Tapi... dia juga adalah orang yang Natsume sukai..!

Natsume, yang mau mendekatinya sebagai cewek, pura-pura berpacaran dengan salah satu teman sekelasnya, Takatsuki, untuk menarik perhatian Yuki.

Apakah Natsume bisa memperoleh perhatian Yuki melalui  kebohongan tersebut?!"
"Half Ghost","Aku tidak bisa melihatnya, tapi bisa merasakannya..!
Kenapa hal-hal aneh terus terjadi setelah aku bertemu denganmu?!
Webtoon baru dari se jeong, author ""Ghost's Wife""!"
"WiraDelima","Kisah seorang Wira, adik kelas yang bucin BANGET sama Delima, kakak kelasnya. Tapi, Delima tidak pede dengan tubuh mungilnya. Sejauh mana Wira akan berjuang demi menjaga senyum kak Delima-nya?"
"Diary of Desire","Semua orang memiliki hasrat yang kuat. Tapi, apakah hidup yang penuh hasrat tersebut akan berakhir dengan bahagia?

Webtoon baru yang diproduseri oleh Park Taejoon komikus dari ""Lookism"", ""How to Fight"", dan ""Loser Life""."
