"judul_elex","sinopsis_elex"
"secretive ai","Halo! Aku Leo . Hah!? Kamu mau aku menjelaskan ceritanya? Ah, merepotkan. Hmm... Aku dan Aiko, cewek yang kemampuannya nggak kalah dari cowok, berebut kepopuleran di klub basket sekolah kami. Jumlah surat cinta dan kemampuanku menang jauh darinya, lho! Suatu hari, aku jatuh cinta pada pandangan pertama sama pelayan super cantik di maid cafe!! Eh? Pelayan itu Aiko!? Lalu... ah, baca saja, deh! Malu, kan, membicarakan kisah cinta sendiri!!"
"seki-kun","Seki anak laki-laki yang duduk di sebelah Rumi, selalu melakukan sesuatu di mejanya tanpa mengundang perhatian dari gurunya, seperti bermain domino, catur Jepang, dan bermain dengan kucing . Ternyata Rumi yang mulai tertarik dengan permainan yang dibuat oleh Seki. Namun akibatnya Rumi malah sering mendapat teguran dari guru."
"seraph of the end","Oleh karena virus tak dikenal, semua orang dewasa meninggal dan dunia menuju ke kehancuran . Untuk mencegah punahnya makanan mereka, para vampir menampakkan diri dan mengambil alih kekuasaan. Yuuichiro, seorang anak yang hidup di kota para vampir mendambakan kebebasan, tapi untuk bisa melarikan diri seluruh keluarganya mati. Kini hidupnya dia serahkan untuk membalas dendam."
"g1","Suatu hari Mao Manaka bertemu dengan seorang pembalap dan saat itu juga mulai bermimpi menjadi pembalap F1, sebuah profesi yang hanya bisa dijalani oleh monster! Hidup Mao berubah sejak detik itu! Kemudian Mao mengikuti ujian masuk FRS, Formula Racing School, sebuah sekolah bagi calon pembalap . Namun, syarat kelulusan ujian masuk FRS sangat aneh..."
"sersan keroro","Musuh alamiah Bangsa Keron yang selama ini selalu mengganggu invasi pleton Keroro, Viper, akhirnya kembali ke planetnya . Meski harusnya lega, entah kenapa Sersan Keroro malah justru merasa sedih. Tetapi, mendadak muncul seorang gadis pokopen pewaris kehendak Viper yang jadi musuh baru pleton Sersan, alias Viper Momi! Simak keseruan usaha invasi pleton Keroro yang penuh halangan dan rintangan ini!!"
"seven deadly sins","Seven deadly sins, pemberontak legendaris yang konon dituding berkomplot untuk menggulingkan kerajaan . Bahkan hingga saat ini pun, mereka masih diburu oleh Holy Knights, tokoh penting kerajaan yang kekuatannya setara seribu prajurit.Tapi, kemudian muncul seorang gadis yang mencari seven deadly sins dengan memendam perasaan getir, maka dimulailah petualangan menakjubkan"
"sgc survival game club","Momoka baru saja pindah sekolah dan berharap hidupnya akan baik-baik saja . Tapi, di hari pertama ia sudah bertemu dengan orang aneh yang kemudian memaksanya ikut Survival Game Club, karena di dalam diri Momoka ada kemampuan tersembunyi. Momoka pun memulai hari-harinya yang penuh dengan kejutan!"
"shadow skill","Pertarungan Elle dan Shail memang telah selesai, namun pertarungan antara Lilivelt dan Genevia baru saja dimulai . Genevia mengetahui keberadaan Old Codex asli yang ditempatkan dalam tubuh Lilivelt dan berniat merebutnya. Saat itulah akhirnya Lilivelt memberitahukan semua dosa, karma, dan hukuman yang akan terjadi pada orang yang menggunakan kekuatan buku sihir terlarang itu"
"shaman king","Kalian tahu apa itu Shaman? Mereka orang-orang yang konon dapat menghubungkan dunia nyata dan dunia roh, juga dapat berinteraksi dengan arwah orang mati, roh alam, maupun dewa! Anak pindahan yang baru masuk kelasku, Yoh Asakura, mengaku kalau dia sebetulnya Shaman!?"
"shattered knife","Otomo adalah sosok yang berharga dan tak tergantikan bagi Natsume . Namun, di sisi lain Natsume tak dapat mengabaikan Ko yang melukai dirinya sendiri. Akhirnya, dia datang seorang diri ke tempat persembunyian Ko tanpa tahu apa yang menantinya di sana..."
"she is more ordinary than i expected","Alasan aku pindah ke SMA Tokoi ini Umm, karena kakak laki-lakiku dimasukkan ke zashikiro di rumah orangtuaku . Kota Tokoi, tempat di mana ada legenda dua ekor monster pernah tinggal di sana pada zaman dahulu. Yuko Tengai pindah sekolah ke SMA Tokoi untuk mengusut kebenaran akan kasus pemukulan yang menewaskan seseorang yang terjadi 10 tahun yang lalu. Pada kasus tersebut, relik dari dua ekor monster itu ikut terlibat. Dan karena kebetulan yang tak terduga, dia mendapatkan bantuan dari seorang pemuda bernama Masaki Maki."
"shibatora","Taketora Shibata adalah opsir patroli dengan kemampuan misterius yang sering diremehkan karena penampilannya seperti anak kecil . Tapi, dia sangat serius dalam menegakkan keadilan. Suatu hari, Taketora menangkap Mizuki, gadis yang mengutil di toko Kojiro, temannya. Anehnya, Mizuki yang ceria dan cerewet malah gemetar ketakutan saat tahu ayahnya akan menjemputnya di pos polisi. Ada apa sebenarnya di balik hubungan Mizuki dan ayahnya?"
"shiomi-chan","Nyawa yakuza nomor satu di Jepang sedang terancam sehingga terpaksa mengubah penampilan . Hasil operasi plastik membuatnya menangis kesal karena tidak hanya kehilangan tato singa di punggung tapi, tidak disangka, dia harus melupakan jati dirinya sebenarnya. Sang bos yakuza itu kini berpenampilan siswi SMP dengan nama Shiomi-chan! Simak komedi heartful yakuza generasi baru."
"shisho series","Uni adalah pemuda yang pindah ke kota untuk masuk ke universitas . Saat masuk salah satu klub universitas, dia bertemu seorang senior yang ternyata tahu banyak tentang hal-hal gaib. Karena kagum, Uni lalu memanggilnya dengan sebutan Shisho. Bersama Shisho, Uni menjalani keseharian yang penuh kejadian gaib yang terkadang menyeramkan. Mari kita ikuti perjalanan mereka yang seru sekaligus mencekam!"
"shonan junaigumi","Okubo, mantan pentolan SMA Kyokuto, muncul di hadapan Eikichi . Dia memiliki reputasi yang menakutkan karena dikabarkan pernah membunuh orang. Eikichi yang pernah merasakan betapa seramnya Okubo tidak berdaya menghadapi ancamannya. Sementara itu, Ryuji serius memikirkan masa depannya dengan Ayumi, sehingga Onizuka membubarkan Onibaku dengan sepihak supaya tidak melibatkan Ryuji dalam konfliknya dengan Okubo. Onizuka pun menghadapi Okubo sendirian..."
"si cerdik michael","Cerita tentang Michael, seekor kucing berjenis short hair yang hidup di Jepang . Di setiap volume ada beberapa cerita, dengan Michael sebagai tokoh utama, tetapi setting-nya berbeda-beda. Kadang-kadang Michael dipelihara oleh keluarga Jepang `normal`, sepasang suami istri yang baru punya anak bayi. Kadang-kadang dia dipelihara oleh seorang gadis cantik yang pacarnya adalah seorang mafia beken tapi takut banget sama kucing. Di cerita lain, Michael menjadi kucing yang secara tidak sengaja selalu ketemu dengan mantan dokter hewan yang sekarang menjadi buronan karena dituduh melakukan kejahatan yang tidak dilakukannya. Semuanya kocak dan endingnya selalu tak terduga."
"si juki","Si Juki yang nama aslinya adalah Muhammad Marzuki adalah anak yang pada awalnya tidak diharapkan keluaga, namun kemudian menjadi dikenal banyak orang karena karakternya yang berani beda, alias anti main strean . Memiliki ratusan ribu followers di media sosial tidak membuat Juki meninggalkan mie instan kesukaannya."
"silver spoon","Kehidupan di SMK Pertanian Oezo adalah pertandingan melawan waktu . Praktik, kegiatan klub, tugas asrama, lalu persiapan festival Ezono... Hari semakin pendek bagi Hachiken, lelaki yang tidak akan menolak juga lelaki yang tidak bisa menolak. Musim gugur Hachiken yang lebih sibuk dari siapa pun, berlalu dengan kacau..."
"sket dance","Dalam kehidupan sekolah, kita semua pasti pernah mengalami masalah atau pun kesulitan, tapi jangan khawatir, sebab ada sekelompok anak yang akan bersedia menolongmu untuk menyelesaikan semua itu! Mereka adalah para anggota klub penyokong kehidupan sekolah yang dijuluki Sket Dan! Pada hari ini pun telah datang klien yang memesan jasa mereka!!"
"skip beat","Kyoko dan Tsuruga terus melanjutkan akting mereka sebagai kakak adik Cain & Setsuka .Tapi, di balik penampilan seram Cain, ternyata ia adalah sosok yang sangat menyayangi Setsuka adiknya, dan bahkan senang bermanja-manja. Melihat akting yang di luar dugaan ini, Kyoko kaget sendiri karena mendadak jiwanya terguncang karena Tsuruga membuat dirinya berdebar-debar, sama rasanya seperti yang pernah ia alami di masa lalu"
"slam dunk","Ketika SMP, Hanamichi Sakuragi telah ditolak oleh 50 orang cewek . Dengan pengalaman pahit seperti itu, saat baru masuk SMA Shohoku, ia jatuh cinta pada pandangan pertama, pada Haruko Akagi! Seorang gadis cantik, yang tiba-tiba saja bertanya padanya, Kamu suka basket? Dan satu kata inilah yang membuat kehidupan SMA seorang Hanamichi menjadi jauh lebih baik!!"
"smart girl","Bagaimana caranya menaklukkan waktu dan uang? Jika berhasil melakuakan 10 misi yang ditawarkan oleh Smart Girl, kamu pasti bisa melakukannya . Mari kita sama-sama pelajari cara cerdas buat para cewek yang ingin menaklukkan waktu dan uang!"
"sofia fashion investigations","Sofia tidak ingin jadi detektif! Meskipun gadis genius satu ini hobi banget membantu ayahnya memecahkan teka - teki kasus kepolisian, dia tetap ngotot mengejar cita - cita jadi desainer papan atas . Untungnya, dia baru saja diterima di Ariela Ramadina Fashion Academy yang ternama. Tapi, perjalannya tidak semudah itu. Baru di masa orientasinya jadi panitia festival sekolah, seorang pencuri legendaris yang menyebut dirinya Perplexity Princess menantangnya dalam sebuah duel otak, dengan serangkaian pantun misterius dan hilangnya koleksi tas mahal yang akan ditampilkan!"
"soul eater","Setelah insiden yang menimpa Eternal Feather, Tsugumi, dkk . dihadapkan dengan menyengatnya mentari musim panas. Sementara itu, Tsugumi masih memikirkan sikap aneh Akane. Di sisi lain, Meme terbangun dengan sebelah alis tercukur dan tanpa ingatan akan hari sebelumnya! Kehidupan di SPSS memang selalu penuh kejutan!"
"soul eater not","Tsugumi Harudori, 14 tahun, jauh-jauh datang dari Jepang ke Sekolah Pengendali Senjata Shinigami alias SPSS untuk mengasah kemampuannya sebagai Senjata . Tapi, bukannya mendapatkan partner Pengendali, dia malah... diperebutkan? Dunia Soul Eater kini kembali hadir dengan kisah yang lebih ringan dan jenaka!"
"spy x family","Keluarga Forger punya rahasia . Sang ayah adalah agen rahasia terhebat. Sang ibu adalah pembunuh. Sang anak memiliki kemampuan untuk membaca pikiran. Meski mereka hanya keluarga palsu yang saling menyimpan rahasia dari satu sama lain, ternyata ada kehangatan di sana."
"star and dust","Keluarga Anzu sangat miskin sehingga Anzu ingin memiliki pekerjaan dengan penghasilan 10 juta yen per tahun di masa depan nanti . Untuk itu, Anzu hanya fokus pada tujuannya dan tidak mempedulikan hal lain. Sebagai permulaan, Anzu mencalonkan diri di pemilihan ketua OSIS meski baru kelas 1 SMA. Pada akhirnya, Anzu hanya jadi wakil ketua, sementara ketua OSIS yang terpilih adalah anak cowok berperangai buruk yang memandang rendah orang lain!"
"steven sterk","Steven Sterk memiliki kesempatan untuk tampil dalam pembuatan film bersama Nyonya Adolphine yang berlokasi di salah satu bank ternama Credit Monopole . Sayang, bandit-bandit juga mengetahui hal ini untuk merencanakan perampokan bank dengan memanfaatkan robot Nyonya Olphine yang identik dengan Nyonya Adolphine."
"stray souls","Dataran suci Kamitsuyo Mido, kota untuk roh yang dihuni oleh roh . Putri Ame bertugas menenangkan jiwa gentayangan dengan kekuatannya yang misterius. Lalu, ada Sarutahiko yang bersumpah melindunginya dengan bertaruh nyawa. Kisah misteri takdir antara dunia manusia dan dunia roh telah dimulai!!!"
"summer time in eden","Di musim panas ketika usianya 13 tahun, Mizuka jatuh cinta untuk pertama kalinya pada Toma yang dijumpainya di desa, juga dikhianati olehnya . Ketika mereka berdua kebetulan bertemu kembali setelah dewasa, mereka menyadari ketertarikan pada satu sama lain dan memutuskan untuk berpacaran. Namun, di kencan pertama mereka, muncullah Shuya, kakak kembar Toma... Siapa sebenarnya yang membuat Mizuka jatuh cinta di musim panas itu!?"
"super dreadnought girl","Bagaimana rasanya punya pacar yang tingginya 49 .46 meter ? Bukan hanya itu, dia adalah dewa pelindung bumi dari serangan beruntun makhluk asing. Inilah kisah cinta antara Makoto Tobita, si cowok pendek yang tidak laku, dan Mana Eimiya, gadis tinggi yang luar biasa."
"sushi chef tsukasa","Bagaimana masa depan mereka yang mencintai sushi, masakan, dan Kyoto!? Setelah menerima hasil pertandingan sushi kedua, Hisashi memutuskan untuk tetap tinggal di Ooshima . Pada hari dia kembali ke Sawarabi untuk menyampaikannya pada Tsukasa, Sayaka juga muncul lagi di hadapan Tsukasa Kata-kata dan tindakan Sayaka seolah-olah dia menyadari Tsukasa seorang perempuan!? Simak kisah sushi yang terjadi di Kyoto, jilid terakhir yang dipenuhi air mata haru!!"
"sweetness and lightning","Inuzuka, seorang guru SMA yang kehilangan istrinya, tengah berjuang seorang diri untuk membesarkan Tsumugi, anak perempuannya! Tapi, tetap saja dia tidak bisa memasak dengan baik Di saat itulah, Kotori, muridnya mengatakan kalau dia akan mengajarinya! Drama di meja makan yang hangat dan melibatkan anak kesayangan serta muridnya pun dimulai!"
"tableau gate","Pertarungan dengan The Star menyisakan luka yang begitu dalam dan Satsuki kehilangan kemampuannya untuk memanggil Tableau untuk sementara . Sementara itu, Pencuri Ulung J datang ke kediaman Hikawa yang mengalami kerusakan parah. Justice dan Judgement pun tak sengaja bertemu Lady serta berhasil merebut tablet! Siapa sebenarnya mereka!?"
"takahashi is hearing it","Namaku Takahashi, saat ini aku aktif menjalani kehidupan sebagai idol sambil sekolah . Ada satu hobi yang tidak pernah kuceritakan pada siapa pun. Targetku, dua orang yang ada di pojok kelas. Kira-kira apa yang membuatku tertarik pada mereka?"
"takasugi s lunch box","Kururi dan Harumi . Setelah keduanya bertemu, mereka mulai membuat bekal berdua. Resep dan kenangan mereka bertambah dalam jumlah yang sama, namun perasaan yang mereka pendam masih tetap dirahasiakan. Kunjungan ayah Kururi membuat Harumi sadar apa arti keluarga yang sesungguhnya. Dengan keberangkatan Harumi ke Perancis yang kian mendekat, Kururi memutuskan untuk menata perasaannya... Inilah jilid akhir kisah hangat mengenai perasaan terpendam di balik bekal sehari-hari ini!"
"tale of kaguya","Tsukuyomi kehilangan kakak yang merupakan satu-satunya keluarganya dalam peristiwa yang disebut Tragedi berdarah malam ke-15 . Untuk mencari kebenaran akan peristiwa tersebut, Tsukuyomi bertekad menjadi prajurit Takiguchi yang bekerja untuk kaisar. Berhasilkah dia membuktikan bahwa dia mampu untuk itu? Mencoba menguak misteri malam bulan purnama... Di sisi lain, tersiar rumor tentang kecantikan Putri Kaguya yang legendaris..."
"tanguy dan laverdure","Dalam kondisi tanpa pekerjaan Tanguy dan Laverdure mengalami masa-masa sulit . Tiba-tiba tanpa disangka sebuah maskapai penerbangan tak dikenal mengontak mereka untuk menawarkan pekerjaan. Syaratnya cuma satu: mereka tidak boleh banyak bertanya mengenai misi yang diberikan. Misi pertama membawa mereka ke benua hitam Afrika untuk mengantar tiga orang turis yang ingin foto-safari. Misi berubah 180 derajat saat mereka tahu kalau itu bukan hanya perjalanan foto-safari biasa."
"tantangan dari conan","Ketujuh kasus rumit yang dipilih dari kasus-kasus di komik Detektif Conan reguler yang disajikan kembali dengan cara berbeda! Mengulas lebih dalam kronologis kasus, sisi psikologis pelaku, dan ide-ide serta metode pemahaman di balik analisis-analisis Conan yang selama ini tidak tampak di komik reguler . Tujuan akhirnya tentu saja membimbing setiap pembaca untuk menjadi detektif sekelas Conan Edogawa. Nah, bisakah kamu menjadi seperti Conan Edogawa?"
"teasing master takagi","Teman sebangkuku, namanya Takagi . Dia selalu saja menjahiliku. Awas saja, pokoknya hari ini pasti akan kubalas!!!"
"ten ten","Buku ini berisi pengetahuan buat kamu para cewek yang ingin mempelajari ekonomi, dan kegiatan ekonomi seperti apa yang sebaiknya dilakukan dalam kondisi berbeda-beda . Kamu bisa belajar tentang ekonomi lewat kedua tokoh dalam buku ini, yaitu Rena yang selalu menyimpan dan menabung uang dan kakaknya Yasmin yang selalu menghambur-hamburkan uang. Lalu, lewat teman sekelas Rena, Yeren yang unik, dan pelayannya yang ganteng, Sebastian, bersama pacar Rena, Alexander, kamu bisa belajar bahwa memiliki banyak uang dan barang-barang bukanlah segalanya. Tapi, menjadi cewek yang menggunakan uang untuk tujuan yang jelas adalah yang terbaik."
"tetsugaku letra","Di SMA, Ichinose Kimitaka diajarkan teman-temannya untuk bermain bola basket . Meski dia berpengalaman dalam olahraga, namun teman-temannya dapat melebihi kemampuannya. Ini disebabkan setelah ia mendengar teman-teman membicarakan dirinya dan membuatnya frustasi dan cemburu..."
"that future is a lie","Kalau menatap mata orang lain. Aku bisa sedikit melihat masa depan orang itu. Makanya aku tundukkan wajah agar tak bertatapan dengan orang lain"
"the akechi files","Anggota termuda di divisi satu, Ryutaro Kobayashi, mendadak mendapat partner yang ternyata Kengo Akechi, inspektur elite di kepolisian Jepang . Selain angkuh dan penuh percaya diri, Akechi juga sering membuat kesal. Meskipun Kobayashi sering ditindas olehnya di tengah penyelidikan, dia menyimpan rasa hormat yang mendalam kepada Akechi. Alasannya hanya satu: kemampuan Akechi dalam memecahkan kasus dengan sempurna berkat pengetahuan luasnya. Kengo Akechi merupakan sosok polisi keadilan yang dipuja-puja Kobayashi."
"the anonymous noise","Nino & Momo, dua sahabat kecil ini sangat senang bernyanyi dalam suka dan duka . Namun, suatu hari Momo tiba-tiba menghilang, meninggalkan Nino yang akhirnya terguncang dan tak mau lagi bernyanyi, sampai suatu hari ia bertemu Yuzu. Yuzu yang pintar menggubah lagu, mendukung Nino untuk terus bernyanyi, tapi tak lama kemudian Yuzu pun menghilang. Kini Nino sudah tumbuh menjadi seorang gadis penyendiri yang selalu memakai masker. Akankah Nino bertemu kembali dengan Momo dan Yuzu?"
"the black detective","Wahai semua penjahat, bersujudlah di hadapan Tuan Kuro ini ... Yo Kuroba adalah seorang detektif SMA arogan yang super sadis. Dia terus menjalani profesi detektif agar bisa menyiksa dan menindas penjahat dengan total!? Inilah permulaan kisah sang detektif super sadis!!"
"the blue orchestra","`Masa muda` serta `bunyi` yang takkan pernah terulang kembali ... Pada musim gugur kelas 3 SMP, Hajime Aono, mantan musikus muda genius yang berhenti bermain musik atas alasan tertentu, berjumpa dengan seorang gadis yang mengenalkannya pada klub orkestra SMA. Hal itu berhasil menggerakkan kembali detik waktu kehidupan Aono yang sempat terhenti. Inilah permulaan kisah drama masa muda yang melahirkan harmonisasi antara hati dan musik!"
"the book of list","Hidup Akitsune yang tak mau repot berubah setelah dia mendapatkan jam tangan ajaib . Bukan hanya dia jadi bisa mengembalikan segala barang ke kondisi sehari sebelumnya, tapi nyawanya juga jadi diincar. Saat itu muncullah List, gadis kecil yang mengaku mengumpulkan alat-alat ajaib."
"the bride s stories","Di tengah perjalanannya menuju Ankara, Smith hampir tenggelam . Untungnya, dia diselamatkan kakak-beradik kembar, Layla dan Leyli. Mengira Smith dokter, si kembar yang penuh semangat itu membawanya ke rumah. Sementara Smith disibukkan oleh warga yang berbondong-bondong ingin diobati, Layla dan Leyli sibuk berburu calon suami. Apakah si kembar berhasil mendapatkan suami yang mereka idamkan?"
"the drops of god","Shizuku pergi ke pesisir kanan Bordeaux bersama Miyabi dan manajer Kawarage untuk mencari wine yang dapat mempertahankan posisi Kawarage sebagai manajer . Di sana, mereka dibantu mantan anak buah Kawarage yang hendak membeli wine untuk pesta pernikahan. Namun, karena suatu kecerobohan, daftar belanja wine tersebut hilang. Shizuku bermaksud membantu mantan anak buah Kawarage tersebut dan yakin wine tersebut bisa menyelamatkan posisi Kawarage. Bisakah Shizuku menemukannya wine-nya!? Bagaimana dengan karier Kawarage di Taiyo Beer!?"
"the emperor s gem","Kouran menolong seorang wanita yang ternyata adalah ibu kandungnya ...!! Wanita itu bercerita kalau dia terpaksa menelantarkan Kouran karena ada peramal yang bilang padanya, bahwa Kouran akan membawa kehancuran bagi Negara Shou. Lalu, toba-tiba ada pernyataan perang dari Negara Roku terhadap Shou. Mendengar itu semua, Kouran lalu menolak lamaran Shiki...!?"
"the future diary","Yukiteru Amano, seorang siswa SMP Sakurami yang selalu menulis catatan harian di HP-nya . Suatu hari, catatan harian masa depan tercatat di dalam HP-nya. Tetapi, semakin dia membacanya, dia membaca kematiannya di masa depan. Tanpa disadarinya, dia telah masuk ke dalam survival game catatan harian masa depan. Bersama Yuno, yang selalu menguntitnya, harus mengikuti survival game bersama 11 orang lainnya. Permainan macam apakah yang harus mereka lewati?"
"the grim reaper and an argent cavalier","Alkisah di masa lalu, ada dua penyihir yang sangat hebat . Sang kakak yang memiliki sihir penciptaan memburu roh demi mendapatkan keabadian, sehingga dijuluki Malaikat Maut. Sang adik yang memiliki sihir penyembuhan memimpin pasukan Ksatria Perak untuk menghentikan kakaknya. 200 tahun kemudian, pertarungan antara keturunan Lemuria dan para Ksatria Perak melawan iblis yang diciptakan dewa kematian pun terus berlanjut."
"the idol master million live","Gejolak dorongan ini ... tak terhentikan!! Mirai kasuga, seorang anak perempuan berumur 14 tahun yang selalu melangkah dengan mantap dalam melakukan semua yang ingin dilakukannya. Takdirnya berubah berkat pertemuannya dengan Shizuka Mogami, seorang Idol yang seusia dengannya Sang anak perempuan yang telah mendapatkan satu mimpi baru, kini berlari dengan segenap tenaga menuju ke panggung yang gemerlapan!!"
"the king s beast","Ajin, makhluk langka separuh manusia separuh binatang . Mereka ditindas dan dikendalikan oleh manusia. Rangetsu, seorang ajin perempuan menyamar jadi laki-laki dan masuk ke istana sebagai binatang pengabdi pangeran ke-4, Tenyo. Itu semua dilakukannya demi membunuh Tenyo... untuk membalaskan dendam adik laki-lakinya. Di dunia yang bagai neraka ini... aku masih bisa merasakan kegembiraan yang menggetarkan jiwa. Akhirnya aku bisa membunuh laki-laki ini! Akan tetapi yang dilihat oleh Rangetsu adalah wajah asli Tenyo yang di luar dugaannya! Kisah fantasi mengenai binatang menawan yang menantang dunia!! Di akhir volume juga dimuat cerita spesial The Water Dragons Bride."
"the knight in the area","Kejuaraan nasional sepakbola SMA dimulai! Hanya 1 sekolah, yang menjuarai turnamen penyisihan setiap wilayah, yang bisa melaju ke kompetisi nasional!! Seberapa jauhkah perkembang mereka sejak interhigh, kekuatan SMA Eno akan diuji!!"
"the last policeman","Sebagai benteng terakhir Kepolisian Jepang, terdapat SAT yang akan mengendalikan (melindungi keamanan negara walau harus membunuh pelakunya) kasus terorisme dan kejahatan berat dan peserta baru NPS yang memiliki prinsip mengamankan pelaku kejahatan apa pun tanpa membunuhnya Tiba-tiba terealisasilah latihan bersama untuk dua pasukan khusus yang berlawanan ini . Dalam setiap nomor, SAT berada di posisi atas. Namun, sebelum nomor terakhir, latihan entry dimulai, Inspektur Yokokawa yang seharusnya berperan sebagai sandera diculik!? Apa yang terjadi!?"
"the lucifer and biscuit hammer","Suatu hari, dalam kehidupan damai Yuhi Amamiya muncul seekor kadal yang bisa berbicara dan mengatakan akan memberinya kekuatan untuk menyelamatkan bumi yang sedang dalam bahaya . Seberapa pun yuhi berusaha menyangkal, bahaya mengancamnya dan yang menyelamatkannya adalah Samidare, tetangga sebelahnya. Walaupun gadis itu disebut sang penyelamat, tapi ia juga raja iblis yang menginginkan kehancuran bumi. Terpikat oleh hal itu, Yuhi mengucapkan janji setia padanya, kemudian setiap hari ia terus melatih diri. Kemudian munculah Hangetsu, akan tetapi suatu kecelakaan menimpanya, apa yang akan terjadi selanjutnya?"
"the moonlight that surrounds me","Kachiko yang berkunjung ke Boston, Amerika, akhirnya bertemu dengan Pamela, ibu yang telah melahirkannya selama Mikuro sedang tidak ada di rumah . Pamela yang akhirnya bertemu kembali, mengundang Kachiko dan Ren ke rumahnya untuk melewatkan waktu bersama. Ren yang melakukan psychometry mengetahui kenyataan yang mengejutkan!?"
"the morose mononokean","Gara-gara ditempeli siluman, Ashiya sudah tujuh kali masuk UKS sejak masuk SMA . Karena ingin terbebas dari siluman, dia pun minta bantuan pada Abeno, master dari Mononokean yang berbentuk ruang minum teh. Tapi, bukannya ditolong, dia malah dikira mau melamar jadi pekerja sambilan yang membantu Abeno mengirim siluman ke dunia asalnya? Ayo ikuti petualangan mereka dalam membantu para siluman yang ada di dunia manusia kembali ke dunianya!"
"the night of club indigo","Padahal akan lebih baik kalau ada host club yang berisi cowok-cowok seperti Dj atau penari di ruangan yang seperti klub . Berawal dari gumaman itu, lahirlah Klub Indigo, yang memiliki bos misterius dan para host yang bisa memecahkan kasus yang terjadi di Shibuya!"
"the numbers of hamamura nagisa","Matematika menciptakan manusia tak berkemanusiaan . Teori itu membuat pemerintah menghapuskan mata pelajaran matematika dari kurikulum. Gen`ichiro Takagi, seorang pendidik dan ahli matematika kenamaan berang dan memutuskan untuk mendirikan kelompok teroris Segitiga Hitam yang menuntut dikembalikannya pelajaran matematika. Dibentuklah tim penanggulangan oleh kepolisian, tapi ternyata mereka hanya punya anggota yang tak paham matematika, tak mungkin mampu memecahkan teka-teki yang ditinggalkan para teroris. Saat itu, datanglah penyelamat berwujud gadis kecil yang mencintai angka."
"the phantom tower","Siapakah pembunuh di Menara Hantu? Hantu ... Atau manusia? Tahun 1954, Kobe. Amano yang pengangguran diserang bayangan putih di menara jam yang dijuluki Menara Hantu. Sesaat sebelum terbunuh, dia ditolong oleh pemuda misterius bernama Tetsuo. Tetsuo lalu mengajaknya mencari harta karun menara hantu agar mereka bisa kaya bersama. Namun, identitas asli Tetsuo ternyata sangat mengejutkan!"
"the promised neverland","Wanita yang kukasihi sebagai ibu itu bukan ibu kandungku . Mereka yang tinggal bersamaku itu bukan saudara kandungku... Emma, Norman, Ray menjalani kehidupan yang bahagia di panti asuhan kecil ini. Namun, suatu hari, hari-hari bahagia mereka mendadak harus berakhir. Seperti apa takdir mereka yang telah mengetahui kebenaran keji di balik keberadaan panti itu!?"
"the quintessential quintuplets","Futaro Uesugi, seorang siswa kelas 2 SMA yang miskin, mendapat tawaran kerja sambilan yang menjanjikan, yaitu menjadi tutor . Tapi, ternyata murid lesnya adalah Itsuki Nakano, teman perempuan yang seangkatan dengannya!! Ditambah lagi, ternyata Itsuki kembar lima!! Meski cantik, semuanya anak bermasalah yang nyaris tidak naik kelas dan benci belajar! Apakah Futaro akan bisa membimbing kembar lima berkepribadian sangat unik itu sampai saat kelulusan!?"
"the royal tutor","Heine dipercaya menjadi guru privat untuk para pangeran . Keempat pangeran ini memiliki kepribadian yang unik! Dia harus menghadapi keempat pangeran yang menyulitkan ini, untuk belajar bersama, melangkah bersama, dan berkembang bersama. Inilah jilid 1 bab komedi kerajaan!"
"the sleeping tsukumo","Shizume Kurahashi merasa sering melihat makhluk seperti monster keluar dari dadanya . Makhluk apa yang ada dalam tubuh Shizume!? Petualangan seperti apa yang menantinya setelah dia mengetahui rahasia tentang dirinya yang sebenarnya!?"
"the sluggish tanaka","Suka mendesah, bertopang dagu, punya mata yang seperti orang mengantuk, serta pada dasarnya tidak berusaha ... Itulah Tanaka. Kemudian ada Ohta, cowok tinggi pendiam yang tak bisa membiarkan saja Tanaka yang sifatnya seperti itu. Inilah komedi tentang kehidupan masa muda mereka yang santai dan penuh hal-hal menarik!"
"the soaring quadrable","Negara tengah berperang . Empat pemuda menjalani latihan shinobi dan mendapatkan keahlian khusus. Mereka harus mengarungi lautan untuk menyelamatkan Eropa dari kegelapan yang diciptakan diablo (iblis)! Kisah petualangan para pemuda yang berdasarkan sejarah ini, dimulai!"
"the tale of genbu","Di era Taisho . Takiko mendadak terisap masuk ke dalam buku literatur China berjudul Kitab Empat Dewa yang diterjemahkan ayahnya. Dia menemukan dirinya berada di dunia lain dan mengetahui takdirnya sebagai Miko Genbu. Apa yang akan terjadi pada takiko selanjutnya!?"
"the water dragon","Di tengah kesehariannya yang damai, mendadak Asahi terhisap ke dunia lain! Meski ditolong oleh Subaru, putra keluarga berpengaruh di desa, tanpa disangka, dia justru ditenggelamkan ke dasar danau oleh ibu Subaru sebagai kurban kepada Dewa Air . Bagaimana reaksi Asahi yang dijadikan istri Dewa Air!? Bodohnya mereka mempersembahkan gadis sekecil ini! Baiklah, aku mau menjadikanmu istriku! Takdir ajaib sang gadis mulai bergerak!"
"the world god only knows","Keima Katsuragi harus mencari dewi yang tertidur di dalam gadis-gadis yang sudah pernah jadi targetnya untuk menyelamatkan nyawa Kanon!! Legenda dewa penakluk baru pun dimulai!!"
